strain,date,region,host,year,country,genotype,place_of_collection,author,accession
MF465805.1,1/17/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Meneguin,C.B., Di Paola,N., Cunha,M.D.P., Jesus,M.J.R., Silveira,V.B., Silva,M.V., Zanotto,P.M.A., Durigon,E.L. and Oliveira,D.B.L.",
MF170974.1,3/29/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Moreira-Soto,A., Torres,M.C., Lima de Mendonca,M.C., Mares-Guia,M.A., Dos Santos Rodrigues,C.D., Fabri,A.A., Dos Santos,C.C., Machado Araujo,E.S., Fischer,C., Ribeiro Nogueira,R.M., Drosten,C., Sequeira,P.C., Drexler,J.F. and Bispo de Filippis,A.M.",
MK333802.1,4/5/2017,"LA,C",Haemagogus leucocelaenus,2017,Brazil,SAmI,Brazil,"Delatorre,E., de Abreu,F.V.S., Ribeiro,I.P., Gomez,M.M., Dos Santos,A.A.C., Ferreira-de-Brito,A., Neves,M.S.A.S., Bonelly,I., de Miranda,R.M., Furtado,N.D., Raphael,L.M.S., da Silva,L.F.F., de Castro,M.G., Ramos,D.G., Romano,A.P.M., Kallas,E.G., Vicente,A.C.P., Bello,G., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MG550109.2,4/18/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Gomez,M.M., Abreu,F.V., Santos,A.A., Mello,I.S., Santos,M.P., Ribeiro,I.P., Ferreira-de-Brito,A., Miranda,R.M., Castro,M.G., Ribeiro,M.S., Laterriere Junior,R.D., Aguiar,S.F., Meira,G.L., Antunes,D., Torres,P.H., Mir,D., Vicente,A.C., Guimaraes,A.C., Caffarena,E.R., Bello,G., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MH018103.1,1/30/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.",
MH018108.1,3/10/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.",
MF170980.1,3/23/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Moreira-Soto,A., Torres,M.C., Lima de Mendonca,M.C., Mares-Guia,M.A., Dos Santos Rodrigues,C.D., Fabri,A.A., Dos Santos,C.C., Machado Araujo,E.S., Fischer,C., Ribeiro Nogueira,R.M., Drosten,C., Sequeira,P.C., Drexler,J.F. and Bispo de Filippis,A.M.",
MH018111.1,4/10/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.",
MH018110.1,3/9/2017,"LA,C",Callithrix sp.,2017,Brazil,SAmI,Brazil,"Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.",
ON022435.1,10/23/2017,"LA,C",Alouatta,2017,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
MN643089.1,10/19/2017,"LA,C",Alouatta guariba,2017,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Furtado,N.D., dos Santos,A.A.C., Cruz,S.O.D., de Mello,I.S., dos Santos,M.P., Raphael,L.M.S., Ferreira-de-Brito,A., Pina-Costa,A., Brasil,P., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MN506281.1,4/26/2017,"LA,C",Hg. janthinomys,2017,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Ferreira-de-Brito,A., Santos,A.A.C.D., Miranda,R.M., Bonelly,I.S., Neves,M.S.A.S., Bersot,M.I., Santos,T.P.D., Gomes,M.Q., Silva,J.L.D., Romano,A.P.M., Carvalho,R.G., Said,R.F.D.C., Ribeiro,M.S., Laperriere,R.D.C., Fonseca,E.O.L., Falqueto,A., Paupy,C., Failloux,A.B., Moutailler,S., Castro,M.G., Gomez,M.M., Motta,M.A., Bonaldo,M.C. and Lourenco-de-Oliveira,R.",
MF170969.1,3/18/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Moreira-Soto,A., Torres,M.C., Lima de Mendonca,M.C., Mares-Guia,M.A., Dos Santos Rodrigues,C.D., Fabri,A.A., Dos Santos,C.C., Machado Araujo,E.S., Fischer,C., Ribeiro Nogueira,R.M., Drosten,C., Sequeira,P.C., Drexler,J.F. and Bispo de Filippis,A.M.",
MF170981.1,4/5/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Moreira-Soto,A., Torres,M.C., Lima de Mendonca,M.C., Mares-Guia,M.A., Dos Santos Rodrigues,C.D., Fabri,A.A., Dos Santos,C.C., Machado Araujo,E.S., Fischer,C., Ribeiro Nogueira,R.M., Drosten,C., Sequeira,P.C., Drexler,J.F. and Bispo de Filippis,A.M.",
MF170970.1,3/21/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Moreira-Soto,A., Torres,M.C., Lima de Mendonca,M.C., Mares-Guia,M.A., Dos Santos Rodrigues,C.D., Fabri,A.A., Dos Santos,C.C., Machado Araujo,E.S., Fischer,C., Ribeiro Nogueira,R.M., Drosten,C., Sequeira,P.C., Drexler,J.F. and Bispo de Filippis,A.M.",
MH018112.1,4/17/2017,"LA,C",Alouatta sp.,2017,Brazil,SAmI,Brazil,"Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.",
MK333801.1,4/5/2017,"LA,C",Haemagogus janthinomys,2017,Brazil,SAmI,Brazil,"Delatorre,E., de Abreu,F.V.S., Ribeiro,I.P., Gomez,M.M., Dos Santos,A.A.C., Ferreira-de-Brito,A., Neves,M.S.A.S., Bonelly,I., de Miranda,R.M., Furtado,N.D., Raphael,L.M.S., da Silva,L.F.F., de Castro,M.G., Ramos,D.G., Romano,A.P.M., Kallas,E.G., Vicente,A.C.P., Bello,G., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MF170972.1,3/31/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Moreira-Soto,A., Torres,M.C., Lima de Mendonca,M.C., Mares-Guia,M.A., Dos Santos Rodrigues,C.D., Fabri,A.A., Dos Santos,C.C., Machado Araujo,E.S., Fischer,C., Ribeiro Nogueira,R.M., Drosten,C., Sequeira,P.C., Drexler,J.F. and Bispo de Filippis,A.M.",
MF434851.2,4/25/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Gomez,M.M., Abreu,F.V.S., Santos,A.A.C.D., Mello,I.S., Santos,M.P., Ribeiro,I.P., Ferreira-de-Brito,A., Miranda,R.M., Castro,M.G., Ribeiro,M.S., Laterriere Junior,R.D.C., Aguiar,S.F., Meira,G.L.S., Antunes,D., Torres,P.H.M., Mir,D., Vicente,A.C.P., Guimaraes,A.C.R., Caffarena,E.R., Bello,G., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MN604286.1,4/7/2017,"LA,C",Callithrix penicillata,2017,Brazil,SAmI,Brazil,"Jesus,J.G., Graf,T., Giovanetti,M., Mares-Guia,M.A., Xavier,J., Lima Maia,M., Fonseca,V., Fabri,A., Dos Santos,R.F., Mota Pereira,F., Ferraz Oliveira Santos,L., Reboredo de Oliveira da Silva,L., Pereira Gusmao Maia,Z., Gomes Cerqueira,J.X., Theze,J., Abade,L., Cordeiro,M.C.S., Torquato,S.S.C., Santana,E.B., de Jesus Silva,N.S., Dourado,R.S.O., Alves,A.B., do Socorro Guedes,A., da Silva Filho,P.M., Rodrigues Faria,N., de Albuquerque,C.F.C., de Abreu,A.L., Martins Romano,A.P., Croda,J., do Carmo Said,R.F., Cunha,G.M., da Fonseca Cerqueira,J.M., Mello,A.L.E.S., de Filippis,A.M.B. and Alcantara,L.C.J.",
MN643087.1,2/13/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Furtado,N.D., dos Santos,A.A.C., Cruz,S.O.D., Mello,I.S., Dos Santos,M.P., Raphael,L.M.S., Ferreira-de-Brito,A., Pina-Costa,A., Brasil,P., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
ON022457.1,4/3/2018,"LA,C",Callithrix,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022501.1,2/20/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022493.1,2/21/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022534.1,2/27/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022728.1,9/2/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022489.1,2/6/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
MF538783.2,3/18/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Gomez,M.M., Abreu,F.V.S., Santos,A.A.C.D., Mello,I.S., Santos,M.P., Ribeiro,I.P., Ferreira-de-Brito,A., Miranda,R.M., Castro,M.G., Ribeiro,M.S., Laterriere Junior,R.D.C., Aguiar,S.F., Meira,G.L.S., Antunes,D., Torres,P.H.M., Mir,D., Vicente,A.C.P., Guimaraes,A.C.R., Caffarena,E.R., Bello,G., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MN506270.1,5/5/2017,"LA,C",Hg. leucocelaenus,2017,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Ferreira-de-Brito,A., Santos,A.A.C.D., Miranda,R.M., Bonelly,I.S., Neves,M.S.A.S., Bersot,M.I., Santos,T.P.D., Gomes,M.Q., Silva,J.L.D., Romano,A.P.M., Carvalho,R.G., Said,R.F.D.C., Ribeiro,M.S., Laperriere,R.D.C., Fonseca,E.O.L., Falqueto,A., Paupy,C., Failloux,A.B., Moutailler,S., Castro,M.G., Gomez,M.M., Motta,M.A., Bonaldo,M.C. and Lourenco-de-Oliveira,R.",
MN506272.1,5/6/2017,"LA,C",Ae. scapularis,2017,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Ferreira-de-Brito,A., Santos,A.A.C.D., Miranda,R.M., Bonelly,I.S., Neves,M.S.A.S., Bersot,M.I., Santos,T.P.D., Gomes,M.Q., Silva,J.L.D., Romano,A.P.M., Carvalho,R.G., Said,R.F.D.C., Ribeiro,M.S., Laperriere,R.D.C., Fonseca,E.O.L., Falqueto,A., Paupy,C., Failloux,A.B., Moutailler,S., Castro,M.G., Gomez,M.M., Motta,M.A., Bonaldo,M.C. and Lourenco-de-Oliveira,R.",
MK089775.1,5/6/2017,"LA,C",Ochlerotatus taeniorhynchus,2017,Brazil,SAmI,Brazil,"Vieira Santos de Abreu,F., Pereira Ribeiro,I., Ferreira-de-Brito,A., Araujo Cunha dos Santos,A., Moraes de Miranda,R., de Souza Bonelli,I., Neves,M.S.A.S., Berzot,M.I.L., Pereira dos Santos,T., Quintela Gomes,M., da Silva,J.L., Pecego Martins Romano,A., Gomes Carvalho,R., Said,R.F.C., Sergio Ribeiro,M., da Costa Laperriere Junior,R., Paupy,C., Failloux,A.-B., Moutailler,S., Goncalves de Castro,M., Martinez Gomez,M., de Albuquerque Motta,M., Bonaldo,M.C. and Lourenco-de-Oliveira,R.",
MN506274.1,5/6/2017,"LA,C",Ae. taeniorhynchus,2017,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Ferreira-de-Brito,A., Santos,A.A.C.D., Miranda,R.M., Bonelly,I.S., Neves,M.S.A.S., Bersot,M.I., Santos,T.P.D., Gomes,M.Q., Silva,J.L.D., Romano,A.P.M., Carvalho,R.G., Said,R.F.D.C., Ribeiro,M.S., Laperriere,R.D.C., Fonseca,E.O.L., Falqueto,A., Paupy,C., Failloux,A.B., Moutailler,S., Castro,M.G., Gomez,M.M., Motta,M.A., Bonaldo,M.C. and Lourenco-de-Oliveira,R.",
MF370547.1,3/27/2017,"LA,C",Alouatta sp.,2017,Brazil,SAmI,Brazil,"Filippis,A.M.B., Sequeira,P.C., Mares-Guia,M.A., Mendonca,M.C.L., Torres,M.C., Silva,S.P. and Cruz,A.C.R.",
MN506271.1,5/5/2017,"LA,C",Hg. leucocelaenus,2017,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Ferreira-de-Brito,A., Santos,A.A.C.D., Miranda,R.M., Bonelly,I.S., Neves,M.S.A.S., Bersot,M.I., Santos,T.P.D., Gomes,M.Q., Silva,J.L.D., Romano,A.P.M., Carvalho,R.G., Said,R.F.D.C., Ribeiro,M.S., Laperriere,R.D.C., Fonseca,E.O.L., Falqueto,A., Paupy,C., Failloux,A.B., Moutailler,S., Castro,M.G., Gomez,M.M., Motta,M.A., Bonaldo,M.C. and Lourenco-de-Oliveira,R.",
MN506279.1,5/4/2017,"LA,C",Hg. leucocelaenus,2017,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Ferreira-de-Brito,A., Santos,A.A.C.D., Miranda,R.M., Bonelly,I.S., Neves,M.S.A.S., Bersot,M.I., Santos,T.P.D., Gomes,M.Q., Silva,J.L.D., Romano,A.P.M., Carvalho,R.G., Said,R.F.D.C., Ribeiro,M.S., Laperriere,R.D.C., Fonseca,E.O.L., Falqueto,A., Paupy,C., Failloux,A.B., Moutailler,S., Castro,M.G., Gomez,M.M., Motta,M.A., Bonaldo,M.C. and Lourenco-de-Oliveira,R.",
MN506280.1,5/7/2017,"LA,C",Hg. leucocelaenus,2017,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Ferreira-de-Brito,A., Santos,A.A.C.D., Miranda,R.M., Bonelly,I.S., Neves,M.S.A.S., Bersot,M.I., Santos,T.P.D., Gomes,M.Q., Silva,J.L.D., Romano,A.P.M., Carvalho,R.G., Said,R.F.D.C., Ribeiro,M.S., Laperriere,R.D.C., Fonseca,E.O.L., Falqueto,A., Paupy,C., Failloux,A.B., Moutailler,S., Castro,M.G., Gomez,M.M., Motta,M.A., Bonaldo,M.C. and Lourenco-de-Oliveira,R.",
